,Item,Average_Price_in_Eur,Range,Category,Minimum,Maximum,city,country
0,"Meal, Inexpensive Restaurant",12.0,8.00-20.00,Restaurants,8.0,20.0,Berlin,Germany
1,"Meal for 2 People, Mid-range Restaurant, Three-course",60.0,40.00-100.00,Restaurants,40.0,100.0,Berlin,Germany
2,McMeal at McDonalds (or Equivalent Combo Meal),10.0,8.00-12.00,Restaurants,8.0,12.0,Berlin,Germany
3,Domestic Beer (0.5 liter draught),4.0,3.00-5.00,Restaurants,3.0,5.0,Berlin,Germany
4,Imported Beer (0.33 liter bottle),4.0,3.00-5.00,Restaurants,3.0,5.0,Berlin,Germany
5,Cappuccino (regular),3.46,2.50-5.00,Restaurants,2.5,5.0,Berlin,Germany
6,Coke/Pepsi (0.33 liter bottle),2.53,1.99-3.50,Restaurants,1.99,3.5,Berlin,Germany
7,Water (0.33 liter bottle),2.16,1.50-3.00,Restaurants,1.5,3.0,Berlin,Germany
9,"Milk (regular), (1 liter)",1.28,1.00-1.95,Markets,1.0,1.95,Berlin,Germany
10,Loaf of Fresh White Bread (500g),1.82,1.00-3.50,Markets,1.0,3.5,Berlin,Germany
11,"Rice (white), (1kg)",2.55,1.50-4.00,Markets,1.5,4.0,Berlin,Germany
12,Eggs (regular) (12),3.05,1.85-4.80,Markets,1.85,4.8,Berlin,Germany
13,Local Cheese (1kg),12.46,5.00-27.00,Markets,5.0,27.0,Berlin,Germany
14,Chicken Fillets (1kg),10.16,5.00-16.00,Markets,5.0,16.0,Berlin,Germany
15,Beef Round (1kg) (or Equivalent Back Leg Red Meat),14.19,7.00-25.00,Markets,7.0,25.0,Berlin,Germany
16,Apples (1kg),2.7,1.00-3.99,Markets,1.0,3.99,Berlin,Germany
17,Banana (1kg),1.78,1.20-3.00,Markets,1.2,3.0,Berlin,Germany
18,Oranges (1kg),2.61,1.49-4.00,Markets,1.49,4.0,Berlin,Germany
19,Tomato (1kg),3.25,1.29-5.00,Markets,1.29,5.0,Berlin,Germany
20,Potato (1kg),1.9,0.70-3.79,Markets,0.7,3.79,Berlin,Germany
21,Onion (1kg),1.68,1.00-2.99,Markets,1.0,2.99,Berlin,Germany
22,Lettuce (1 head),1.4,0.80-2.00,Markets,0.8,2.0,Berlin,Germany
23,Water (1.5 liter bottle),0.7,0.25-1.50,Markets,0.25,1.5,Berlin,Germany
24,Bottle of Wine (Mid-Range),6.0,4.00-10.00,Markets,4.0,10.0,Berlin,Germany
25,Domestic Beer (0.5 liter bottle),1.08,0.65-2.00,Markets,0.65,2.0,Berlin,Germany
26,Imported Beer (0.33 liter bottle),1.47,1.00-3.00,Markets,1.0,3.0,Berlin,Germany
27,Cigarettes 20 Pack (Marlboro),8.0,7.60-9.00,Markets,7.6,9.0,Berlin,Germany
29,One-way Ticket (Local Transport),3.1,3.00-3.70,Transportation,3.0,3.7,Berlin,Germany
30,Monthly Pass (Regular Price),65.0,49.00-91.00,Transportation,49.0,91.0,Berlin,Germany
31,Taxi Start (Normal Tariff),4.9,3.90-6.00,Transportation,3.9,6.0,Berlin,Germany
32,Taxi 1km (Normal Tariff),2.0,2.00-2.60,Transportation,2.0,2.6,Berlin,Germany
