,Item,Average_Price_in_Eur,Range,Category,Minimum,Maximum,city,country
0,"Meal, Inexpensive Restaurant",15.0,10.00-30.00,Restaurants,10.0,30.0,Larnaca,Cyprus
1,"Meal for 2 People, Mid-range Restaurant, Three-course",50.0,40.00-70.00,Restaurants,40.0,70.0,Larnaca,Cyprus
2,McMeal at McDonalds (or Equivalent Combo Meal),8.0,6.00-8.00,Restaurants,6.0,8.0,Larnaca,Cyprus
3,Domestic Beer (0.5 liter draught),4.0,2.00-5.00,Restaurants,2.0,5.0,Larnaca,Cyprus
4,Imported Beer (0.33 liter bottle),5.0,2.69-6.00,Restaurants,2.69,6.0,Larnaca,Cyprus
5,Cappuccino (regular),3.8,2.00-5.38,Restaurants,2.0,5.38,Larnaca,Cyprus
6,Coke/Pepsi (0.33 liter bottle),2.01,1.00-3.59,Restaurants,1.0,3.59,Larnaca,Cyprus
7,Water (0.33 liter bottle),0.98,0.50-2.00,Restaurants,0.5,2.0,Larnaca,Cyprus
9,"Milk (regular), (1 liter)",1.83,1.15-2.50,Markets,1.15,2.5,Larnaca,Cyprus
10,Loaf of Fresh White Bread (500g),1.95,1.00-3.00,Markets,1.0,3.0,Larnaca,Cyprus
11,"Rice (white), (1kg)",2.3,1.20-3.00,Markets,1.2,3.0,Larnaca,Cyprus
12,Eggs (regular) (12),3.16,1.99-3.70,Markets,1.99,3.7,Larnaca,Cyprus
13,Local Cheese (1kg),11.25,6.00-20.00,Markets,6.0,20.0,Larnaca,Cyprus
14,Chicken Fillets (1kg),7.97,6.00-9.00,Markets,6.0,9.0,Larnaca,Cyprus
15,Beef Round (1kg) (or Equivalent Back Leg Red Meat),11.59,8.00-13.00,Markets,8.0,13.0,Larnaca,Cyprus
16,Apples (1kg),2.28,1.50-3.00,Markets,1.5,3.0,Larnaca,Cyprus
17,Banana (1kg),1.81,0.99-3.00,Markets,0.99,3.0,Larnaca,Cyprus
18,Oranges (1kg),1.89,0.85-2.50,Markets,0.85,2.5,Larnaca,Cyprus
19,Tomato (1kg),2.49,1.80-4.00,Markets,1.8,4.0,Larnaca,Cyprus
20,Potato (1kg),1.27,0.40-2.00,Markets,0.4,2.0,Larnaca,Cyprus
21,Onion (1kg),1.3,0.70-2.00,Markets,0.7,2.0,Larnaca,Cyprus
22,Lettuce (1 head),0.67,0.30-1.50,Markets,0.3,1.5,Larnaca,Cyprus
23,Water (1.5 liter bottle),1.1,0.30-2.00,Markets,0.3,2.0,Larnaca,Cyprus
24,Bottle of Wine (Mid-Range),6.75,4.00-12.00,Markets,4.0,12.0,Larnaca,Cyprus
25,Domestic Beer (0.5 liter bottle),1.57,1.00-2.00,Markets,1.0,2.0,Larnaca,Cyprus
26,Imported Beer (0.33 liter bottle),2.56,1.50-3.00,Markets,1.5,3.0,Larnaca,Cyprus
27,Cigarettes 20 Pack (Marlboro),5.0,4.90-6.50,Markets,4.9,6.5,Larnaca,Cyprus
29,One-way Ticket (Local Transport),2.0,1.50-2.50,Transportation,1.5,2.5,Larnaca,Cyprus
30,Monthly Pass (Regular Price),40.0,40.00-45.00,Transportation,40.0,45.0,Larnaca,Cyprus
31,Taxi Start (Normal Tariff),5.5,5.00-7.00,Transportation,5.0,7.0,Larnaca,Cyprus
32,Taxi 1km (Normal Tariff),1.5,1.00-2.00,Transportation,1.0,2.0,Larnaca,Cyprus
33,Taxi 1hour Waiting (Normal Tariff),30.0,20.00-30.00,Transportation,20.0,30.0,Larnaca,Cyprus
34,Gasoline (1 liter),1.54,1.32-1.80,Transportation,1.32,1.8,Larnaca,Cyprus
35,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),24500.0,24000.00-25000.00,Transportation,24000.0,25000.0,Larnaca,Cyprus
36,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),31633.33,27900.00-32000.00,Transportation,27900.0,32000.0,Larnaca,Cyprus
38,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",196.69,115.00-300.00,Utilities (Monthly),115.0,300.0,Larnaca,Cyprus
39,Mobile Phone Monthly Plan with Calls and 10GB+ Data,19.99,19.99-19.99,Utilities (Monthly),19.99,19.99,Larnaca,Cyprus
40,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",34.62,30.00-50.00,Utilities (Monthly),30.0,50.0,Larnaca,Cyprus
42,"Fitness Club, Monthly Fee for 1 Adult",56.1,40.00-73.00,Sports And Leisure,40.0,73.0,Larnaca,Cyprus
43,Tennis Court Rent (1 Hour on Weekend),40.0,20.00-55.00,Sports And Leisure,20.0,55.0,Larnaca,Cyprus
44,"Cinema, International Release, 1 Seat",11.5,9.00-12.00,Sports And Leisure,9.0,12.0,Larnaca,Cyprus
46,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",350.0,290.00-500.00,Childcare,290.0,500.0,Larnaca,Cyprus
47,"International Primary School, Yearly for 1 Child",5056.25,4800.00-6500.00,Childcare,4800.0,6500.0,Larnaca,Cyprus
49,1 Pair of Jeans (Levis 501 Or Similar),90.0,50.00-110.00,Clothing And Shoes,50.0,110.0,Larnaca,Cyprus
50,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",37.86,30.00-50.00,Clothing And Shoes,30.0,50.0,Larnaca,Cyprus
51,1 Pair of Nike Running Shoes (Mid-Range),86.5,60.00-120.00,Clothing And Shoes,60.0,120.0,Larnaca,Cyprus
52,1 Pair of Men Leather Business Shoes,91.25,70.00-120.00,Clothing And Shoes,70.0,120.0,Larnaca,Cyprus
54,Apartment (1 bedroom) in City Centre,838.57,540.00-1100.00,Rent Per Month,540.0,1100.0,Larnaca,Cyprus
55,Apartment (1 bedroom) Outside of Centre,618.0,450.00-850.00,Rent Per Month,450.0,850.0,Larnaca,Cyprus
56,Apartment (3 bedrooms) in City Centre,1507.14,800.00-3000.00,Rent Per Month,800.0,3000.0,Larnaca,Cyprus
57,Apartment (3 bedrooms) Outside of Centre,1100.0,700.00-1800.00,Rent Per Month,700.0,1800.0,Larnaca,Cyprus
59,Price per Square Meter to Buy Apartment in City Centre,1975.0,1650.00-2200.00,Buy Apartment Price,1650.0,2200.0,Larnaca,Cyprus
60,Price per Square Meter to Buy Apartment Outside of Centre,1358.33,1100.00-1600.00,Buy Apartment Price,1100.0,1600.0,Larnaca,Cyprus
63,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",2.83,2.00-3.50,Salaries And Financing,2.0,3.5,Larnaca,Cyprus
