,Item,Average_Price_in_Eur,Range,Category,Minimum,Maximum,city,country
0,"Meal, Inexpensive Restaurant",12.5,7.50-15.00,Restaurants,7.5,15.0,Nicosia,Cyprus
1,"Meal for 2 People, Mid-range Restaurant, Three-course",50.0,40.00-65.00,Restaurants,40.0,65.0,Nicosia,Cyprus
2,McMeal at McDonalds (or Equivalent Combo Meal),7.0,6.00-8.00,Restaurants,6.0,8.0,Nicosia,Cyprus
3,Domestic Beer (0.5 liter draught),4.0,2.00-6.00,Restaurants,2.0,6.0,Nicosia,Cyprus
4,Imported Beer (0.33 liter bottle),5.0,3.50-6.00,Restaurants,3.5,6.0,Nicosia,Cyprus
5,Cappuccino (regular),3.21,2.50-4.00,Restaurants,2.5,4.0,Nicosia,Cyprus
6,Coke/Pepsi (0.33 liter bottle),1.37,1.00-2.00,Restaurants,1.0,2.0,Nicosia,Cyprus
7,Water (0.33 liter bottle),0.65,0.50-1.00,Restaurants,0.5,1.0,Nicosia,Cyprus
9,"Milk (regular), (1 liter)",1.49,1.15-2.00,Markets,1.15,2.0,Nicosia,Cyprus
10,Loaf of Fresh White Bread (500g),1.79,0.90-2.20,Markets,0.9,2.2,Nicosia,Cyprus
11,"Rice (white), (1kg)",2.46,1.30-3.00,Markets,1.3,3.0,Nicosia,Cyprus
12,Eggs (regular) (12),3.05,2.20-4.20,Markets,2.2,4.2,Nicosia,Cyprus
13,Local Cheese (1kg),9.7,5.00-13.00,Markets,5.0,13.0,Nicosia,Cyprus
14,Chicken Fillets (1kg),7.64,6.00-9.62,Markets,6.0,9.62,Nicosia,Cyprus
15,Beef Round (1kg) (or Equivalent Back Leg Red Meat),8.77,7.00-12.00,Markets,7.0,12.0,Nicosia,Cyprus
16,Apples (1kg),2.68,2.00-3.00,Markets,2.0,3.0,Nicosia,Cyprus
17,Banana (1kg),1.77,1.25-2.10,Markets,1.25,2.1,Nicosia,Cyprus
18,Oranges (1kg),1.88,0.50-3.99,Markets,0.5,3.99,Nicosia,Cyprus
19,Tomato (1kg),2.51,1.00-5.00,Markets,1.0,5.0,Nicosia,Cyprus
20,Potato (1kg),1.14,0.49-3.00,Markets,0.49,3.0,Nicosia,Cyprus
21,Onion (1kg),0.92,0.60-1.30,Markets,0.6,1.3,Nicosia,Cyprus
22,Lettuce (1 head),0.44,0.30-0.80,Markets,0.3,0.8,Nicosia,Cyprus
23,Water (1.5 liter bottle),0.95,0.50-2.00,Markets,0.5,2.0,Nicosia,Cyprus
24,Bottle of Wine (Mid-Range),7.0,4.00-12.00,Markets,4.0,12.0,Nicosia,Cyprus
25,Domestic Beer (0.5 liter bottle),1.56,1.00-2.00,Markets,1.0,2.0,Nicosia,Cyprus
26,Imported Beer (0.33 liter bottle),2.41,1.00-3.00,Markets,1.0,3.0,Nicosia,Cyprus
27,Cigarettes 20 Pack (Marlboro),5.0,4.60-5.00,Markets,4.6,5.0,Nicosia,Cyprus
29,One-way Ticket (Local Transport),2.0,1.50-2.00,Transportation,1.5,2.0,Nicosia,Cyprus
30,Monthly Pass (Regular Price),40.0,37.00-60.00,Transportation,37.0,60.0,Nicosia,Cyprus
31,Taxi Start (Normal Tariff),3.46,2.20-4.50,Transportation,2.2,4.5,Nicosia,Cyprus
