,Item,Average_Price_in_Eur,Range,Category,Minimum,Maximum,city,country
0,"Meal, Inexpensive Restaurant",15.0,10.00-25.00,Restaurants,10.0,25.0,Paris,France
1,"Meal for 2 People, Mid-range Restaurant, Three-course",62.5,45.00-120.00,Restaurants,45.0,120.0,Paris,France
2,McMeal at McDonalds (or Equivalent Combo Meal),10.0,9.00-12.00,Restaurants,9.0,12.0,Paris,France
3,Domestic Beer (0.5 liter draught),7.0,5.00-9.00,Restaurants,5.0,9.0,Paris,France
4,Imported Beer (0.33 liter bottle),6.0,4.80-9.00,Restaurants,4.8,9.0,Paris,France
5,Cappuccino (regular),3.79,2.00-5.63,Restaurants,2.0,5.63,Paris,France
6,Coke/Pepsi (0.33 liter bottle),3.1,2.00-5.00,Restaurants,2.0,5.0,Paris,France
7,Water (0.33 liter bottle),2.48,1.70-4.00,Restaurants,1.7,4.0,Paris,France
9,"Milk (regular), (1 liter)",1.22,0.95-2.00,Markets,0.95,2.0,Paris,France
10,Loaf of Fresh White Bread (500g),1.93,1.00-4.00,Markets,1.0,4.0,Paris,France
11,"Rice (white), (1kg)",2.14,1.00-3.00,Markets,1.0,3.0,Paris,France
12,Eggs (regular) (12),3.59,1.67-6.00,Markets,1.67,6.0,Paris,France
13,Local Cheese (1kg),17.25,7.00-40.00,Markets,7.0,40.0,Paris,France
14,Chicken Fillets (1kg),13.61,5.00-20.83,Markets,5.0,20.83,Paris,France
15,Beef Round (1kg) (or Equivalent Back Leg Red Meat),21.88,12.00-32.00,Markets,12.0,32.0,Paris,France
16,Apples (1kg),3.29,1.50-5.00,Markets,1.5,5.0,Paris,France
17,Banana (1kg),2.19,1.29-5.00,Markets,1.29,5.0,Paris,France
18,Oranges (1kg),3.03,1.10-5.00,Markets,1.1,5.0,Paris,France
19,Tomato (1kg),3.82,2.00-5.50,Markets,2.0,5.5,Paris,France
20,Potato (1kg),2.21,1.00-4.00,Markets,1.0,4.0,Paris,France
21,Onion (1kg),2.3,1.00-4.00,Markets,1.0,4.0,Paris,France
22,Lettuce (1 head),1.52,1.00-2.00,Markets,1.0,2.0,Paris,France
23,Water (1.5 liter bottle),0.8,0.30-2.00,Markets,0.3,2.0,Paris,France
24,Bottle of Wine (Mid-Range),9.0,5.00-15.00,Markets,5.0,15.0,Paris,France
25,Domestic Beer (0.5 liter bottle),2.13,1.20-4.00,Markets,1.2,4.0,Paris,France
26,Imported Beer (0.33 liter bottle),3.18,1.19-5.00,Markets,1.19,5.0,Paris,France
27,Cigarettes 20 Pack (Marlboro),10.5,10.00-12.00,Markets,10.0,12.0,Paris,France
