,Item,Average_Price_in_Eur,Range,Category,Minimum,Maximum,city,country
0,"Meal, Inexpensive Restaurant",10.52,6.31-14.73,Restaurants,6.31,14.73,Prague,Czech Republic
1,"Meal for 2 People, Mid-range Restaurant, Three-course",50.49,31.55-88.35,Restaurants,31.55,88.35,Prague,Czech Republic
2,McMeal at McDonalds (or Equivalent Combo Meal),7.99,7.15-9.68,Restaurants,7.15,9.68,Prague,Czech Republic
3,Domestic Beer (0.5 liter draught),2.31,1.68-3.16,Restaurants,1.68,3.16,Prague,Czech Republic
4,Imported Beer (0.33 liter bottle),2.95,1.89-3.79,Restaurants,1.89,3.79,Prague,Czech Republic
5,Cappuccino (regular),2.96,1.68-4.21,Restaurants,1.68,4.21,Prague,Czech Republic
6,Coke/Pepsi (0.33 liter bottle),1.62,1.05-2.52,Restaurants,1.05,2.52,Prague,Czech Republic
7,Water (0.33 liter bottle),1.4,0.84-2.31,Restaurants,0.84,2.31,Prague,Czech Republic
9,"Milk (regular), (1 liter)",1.15,0.84-1.68,Markets,0.84,1.68,Prague,Czech Republic
10,Loaf of Fresh White Bread (500g),1.72,0.97-3.79,Markets,0.97,3.79,Prague,Czech Republic
11,"Rice (white), (1kg)",2.48,1.26-4.00,Markets,1.26,4.0,Prague,Czech Republic
12,Eggs (regular) (12),3.23,2.12-4.49,Markets,2.12,4.49,Prague,Czech Republic
13,Local Cheese (1kg),12.05,8.41-21.04,Markets,8.41,21.04,Prague,Czech Republic
14,Chicken Fillets (1kg),8.79,5.47-12.62,Markets,5.47,12.62,Prague,Czech Republic
15,Beef Round (1kg) (or Equivalent Back Leg Red Meat),13.84,8.41-21.04,Markets,8.41,21.04,Prague,Czech Republic
16,Apples (1kg),1.75,1.01-2.73,Markets,1.01,2.73,Prague,Czech Republic
17,Banana (1kg),1.72,1.26-3.37,Markets,1.26,3.37,Prague,Czech Republic
18,Oranges (1kg),2.02,1.05-4.17,Markets,1.05,4.17,Prague,Czech Republic
19,Tomato (1kg),3.44,1.68-5.05,Markets,1.68,5.05,Prague,Czech Republic
20,Potato (1kg),1.06,0.50-1.68,Markets,0.5,1.68,Prague,Czech Republic
21,Onion (1kg),1.15,0.63-1.89,Markets,0.63,1.89,Prague,Czech Republic
22,Lettuce (1 head),1.45,0.84-2.31,Markets,0.84,2.31,Prague,Czech Republic
23,Water (1.5 liter bottle),0.77,0.42-1.18,Markets,0.42,1.18,Prague,Czech Republic
24,Bottle of Wine (Mid-Range),6.31,4.21-10.52,Markets,4.21,10.52,Prague,Czech Republic
25,Domestic Beer (0.5 liter bottle),0.99,0.63-1.47,Markets,0.63,1.47,Prague,Czech Republic
26,Imported Beer (0.33 liter bottle),1.66,1.05-2.48,Markets,1.05,2.48,Prague,Czech Republic
27,Cigarettes 20 Pack (Marlboro),6.06,5.47-6.52,Markets,5.47,6.52,Prague,Czech Republic
29,One-way Ticket (Local Transport),1.35,1.26-1.68,Transportation,1.26,1.68,Prague,Czech Republic
30,Monthly Pass (Regular Price),23.14,12.80-23.56,Transportation,12.8,23.56,Prague,Czech Republic
31,Taxi Start (Normal Tariff),1.89,1.68-2.73,Transportation,1.68,2.73,Prague,Czech Republic
32,Taxi 1km (Normal Tariff),1.26,0.84-1.68,Transportation,0.84,1.68,Prague,Czech Republic
33,Taxi 1hour Waiting (Normal Tariff),15.99,12.62-25.24,Transportation,12.62,25.24,Prague,Czech Republic
34,Gasoline (1 liter),1.62,1.51-1.89,Transportation,1.51,1.89,Prague,Czech Republic
35,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),25407.24,23139.56-30291.79,Transportation,23139.56,30291.79,Prague,Czech Republic
36,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),26388.23,23770.64-31553.95,Transportation,23770.64,31553.95,Prague,Czech Republic
