,Item,Average_Price_in_Eur,Range,Category,Minimum,Maximum,city,country
0,"Meal, Inexpensive Restaurant",15.39,14.11-25.66,Restaurants,14.11,25.66,Rehovot,Israel
1,"Meal for 2 People, Mid-range Restaurant, Three-course",76.97,64.14-128.28,Restaurants,64.14,128.28,Rehovot,Israel
2,McMeal at McDonalds (or Equivalent Combo Meal),12.06,10.78-13.85,Restaurants,10.78,13.85,Rehovot,Israel
3,Domestic Beer (0.5 liter draught),7.7,6.93-8.98,Restaurants,6.93,8.98,Rehovot,Israel
4,Imported Beer (0.33 liter bottle),6.8,3.85-8.21,Restaurants,3.85,8.21,Rehovot,Israel
5,Cappuccino (regular),3.37,2.57-3.85,Restaurants,2.57,3.85,Rehovot,Israel
6,Coke/Pepsi (0.33 liter bottle),2.57,2.05-3.08,Restaurants,2.05,3.08,Rehovot,Israel
7,Water (0.33 liter bottle),2.16,1.80-2.57,Restaurants,1.8,2.57,Rehovot,Israel
9,"Milk (regular), (1 liter)",1.57,1.28-1.80,Markets,1.28,1.8,Rehovot,Israel
10,Loaf of Fresh White Bread (500g),1.49,0.96-2.41,Markets,0.96,2.41,Rehovot,Israel
11,"Rice (white), (1kg)",2.41,2.05-2.57,Markets,2.05,2.57,Rehovot,Israel
12,Eggs (regular) (12),3.29,3.03-3.69,Markets,3.03,3.69,Rehovot,Israel
13,Local Cheese (1kg),14.85,10.26-25.66,Markets,10.26,25.66,Rehovot,Israel
14,Chicken Fillets (1kg),9.6,7.18-12.83,Markets,7.18,12.83,Rehovot,Israel
15,Beef Round (1kg) (or Equivalent Back Leg Red Meat),20.05,12.83-25.66,Markets,12.83,25.66,Rehovot,Israel
16,Apples (1kg),3.04,2.31-3.85,Markets,2.31,3.85,Rehovot,Israel
17,Banana (1kg),2.28,1.54-3.34,Markets,1.54,3.34,Rehovot,Israel
18,Oranges (1kg),1.99,1.03-3.08,Markets,1.03,3.08,Rehovot,Israel
19,Tomato (1kg),1.96,1.28-2.82,Markets,1.28,2.82,Rehovot,Israel
20,Potato (1kg),1.2,0.77-2.05,Markets,0.77,2.05,Rehovot,Israel
21,Onion (1kg),1.15,0.77-1.51,Markets,0.77,1.51,Rehovot,Israel
22,Lettuce (1 head),1.6,1.03-2.57,Markets,1.03,2.57,Rehovot,Israel
23,Water (1.5 liter bottle),0.87,0.51-2.57,Markets,0.51,2.57,Rehovot,Israel
24,Bottle of Wine (Mid-Range),11.55,7.70-20.52,Markets,7.7,20.52,Rehovot,Israel
25,Domestic Beer (0.5 liter bottle),2.17,1.28-3.08,Markets,1.28,3.08,Rehovot,Israel
26,Imported Beer (0.33 liter bottle),2.5,1.54-6.41,Markets,1.54,6.41,Rehovot,Israel
27,Cigarettes 20 Pack (Marlboro),9.75,9.36-10.26,Markets,9.36,10.26,Rehovot,Israel
29,One-way Ticket (Local Transport),1.49,1.41-1.54,Transportation,1.41,1.54,Rehovot,Israel
30,Monthly Pass (Regular Price),56.44,41.05-71.84,Transportation,41.05,71.84,Rehovot,Israel
31,Taxi Start (Normal Tariff),7.18,3.08-11.55,Transportation,3.08,11.55,Rehovot,Israel
32,Taxi 1km (Normal Tariff),1.67,0.77-2.57,Transportation,0.77,2.57,Rehovot,Israel
34,Gasoline (1 liter),1.77,1.62-2.00,Transportation,1.62,2.0,Rehovot,Israel
35,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),37201.17,35918.37-38483.97,Transportation,35918.37,38483.97,Rehovot,Israel
36,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),38483.97,35918.37-38483.97,Transportation,35918.37,38483.97,Rehovot,Israel
38,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",225.76,128.28-299.85,Utilities (Monthly),128.28,299.85,Rehovot,Israel
39,Mobile Phone Monthly Plan with Calls and 10GB+ Data,12.57,12.57-12.57,Utilities (Monthly),12.57,12.57,Rehovot,Israel
40,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",24.52,20.52-30.79,Utilities (Monthly),20.52,30.79,Rehovot,Israel
42,"Fitness Club, Monthly Fee for 1 Adult",59.01,25.40-102.62,Sports And Leisure,25.4,102.62,Rehovot,Israel
44,"Cinema, International Release, 1 Seat",10.26,8.98-10.26,Sports And Leisure,8.98,10.26,Rehovot,Israel
46,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",835.65,769.68-923.62,Childcare,769.68,923.62,Rehovot,Israel
49,1 Pair of Jeans (Levis 501 Or Similar),99.63,48.75-115.45,Clothing And Shoes,48.75,115.45,Rehovot,Israel
50,"1 Summer Dress in a Chain Store (Zara, H&M, ...)",45.75,30.79-51.31,Clothing And Shoes,30.79,51.31,Rehovot,Israel
51,1 Pair of Nike Running Shoes (Mid-Range),106.29,89.80-128.28,Clothing And Shoes,89.8,128.28,Rehovot,Israel
52,1 Pair of Men Leather Business Shoes,130.85,89.80-205.25,Clothing And Shoes,89.8,205.25,Rehovot,Israel
54,Apartment (1 bedroom) in City Centre,865.89,769.68-923.62,Rent Per Month,769.68,923.62,Rehovot,Israel
55,Apartment (1 bedroom) Outside of Centre,737.61,641.40-769.68,Rent Per Month,641.4,769.68,Rehovot,Israel
56,Apartment (3 bedrooms) in City Centre,1344.37,1282.80-1667.64,Rent Per Month,1282.8,1667.64,Rehovot,Israel
57,Apartment (3 bedrooms) Outside of Centre,1196.21,974.93-1411.08,Rent Per Month,974.93,1411.08,Rehovot,Israel
59,Price per Square Meter to Buy Apartment in City Centre,5387.76,4618.08-6414.00,Buy Apartment Price,4618.08,6414.0,Rehovot,Israel
60,Price per Square Meter to Buy Apartment Outside of Centre,5387.76,4618.08-6414.00,Buy Apartment Price,4618.08,6414.0,Rehovot,Israel
63,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.1,2.46-5.00,Salaries And Financing,2.46,5.0,Rehovot,Israel
