,Item,Average_Price_in_Eur,Range,Category,Minimum,Maximum,city,country
0,"Meal, Inexpensive Restaurant",15.0,10.00-28.00,Restaurants,10.0,28.0,Rome,Italy
1,"Meal for 2 People, Mid-range Restaurant, Three-course",70.0,50.00-90.00,Restaurants,50.0,90.0,Rome,Italy
2,McMeal at McDonalds (or Equivalent Combo Meal),10.0,8.00-11.50,Restaurants,8.0,11.5,Rome,Italy
3,Domestic Beer (0.5 liter draught),5.0,3.00-7.00,Restaurants,3.0,7.0,Rome,Italy
4,Imported Beer (0.33 liter bottle),5.0,3.00-7.00,Restaurants,3.0,7.0,Rome,Italy
5,Cappuccino (regular),1.56,1.10-2.24,Restaurants,1.1,2.24,Rome,Italy
6,Coke/Pepsi (0.33 liter bottle),2.16,1.50-3.00,Restaurants,1.5,3.0,Rome,Italy
7,Water (0.33 liter bottle),1.1,1.00-2.00,Restaurants,1.0,2.0,Rome,Italy
9,"Milk (regular), (1 liter)",1.69,1.00-2.00,Markets,1.0,2.0,Rome,Italy
10,Loaf of Fresh White Bread (500g),1.66,1.00-3.00,Markets,1.0,3.0,Rome,Italy
11,"Rice (white), (1kg)",2.3,1.00-3.50,Markets,1.0,3.5,Rome,Italy
12,Eggs (regular) (12),3.41,1.80-5.00,Markets,1.8,5.0,Rome,Italy
13,Local Cheese (1kg),15.3,8.00-29.00,Markets,8.0,29.0,Rome,Italy
14,Chicken Fillets (1kg),10.25,4.00-15.00,Markets,4.0,15.0,Rome,Italy
15,Beef Round (1kg) (or Equivalent Back Leg Red Meat),16.05,9.00-25.00,Markets,9.0,25.0,Rome,Italy
16,Apples (1kg),2.34,1.20-4.00,Markets,1.2,4.0,Rome,Italy
17,Banana (1kg),1.91,1.00-3.50,Markets,1.0,3.5,Rome,Italy
18,Oranges (1kg),2.25,1.29-4.50,Markets,1.29,4.5,Rome,Italy
19,Tomato (1kg),2.71,1.40-4.00,Markets,1.4,4.0,Rome,Italy
20,Potato (1kg),1.54,0.99-3.00,Markets,0.99,3.0,Rome,Italy
21,Onion (1kg),1.57,1.00-3.00,Markets,1.0,3.0,Rome,Italy
22,Lettuce (1 head),1.27,0.70-2.00,Markets,0.7,2.0,Rome,Italy
23,Water (1.5 liter bottle),0.54,0.20-1.70,Markets,0.2,1.7,Rome,Italy
24,Bottle of Wine (Mid-Range),6.0,3.00-12.00,Markets,3.0,12.0,Rome,Italy
25,Domestic Beer (0.5 liter bottle),1.46,1.00-2.50,Markets,1.0,2.5,Rome,Italy
26,Imported Beer (0.33 liter bottle),2.26,1.20-3.50,Markets,1.2,3.5,Rome,Italy
27,Cigarettes 20 Pack (Marlboro),6.0,5.50-6.00,Markets,5.5,6.0,Rome,Italy
29,One-way Ticket (Local Transport),1.5,1.50-2.00,Transportation,1.5,2.0,Rome,Italy
30,Monthly Pass (Regular Price),35.0,30.00-35.00,Transportation,30.0,35.0,Rome,Italy
31,Taxi Start (Normal Tariff),4.0,3.00-6.00,Transportation,3.0,6.0,Rome,Italy
32,Taxi 1km (Normal Tariff),1.3,1.10-2.00,Transportation,1.1,2.0,Rome,Italy
33,Taxi 1hour Waiting (Normal Tariff),30.0,28.00-50.00,Transportation,28.0,50.0,Rome,Italy
34,Gasoline (1 liter),1.82,1.70-2.10,Transportation,1.7,2.1,Rome,Italy
35,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),25000.0,23350.00-30000.00,Transportation,23350.0,30000.0,Rome,Italy
36,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),27225.0,25000.00-28350.00,Transportation,25000.0,28350.0,Rome,Italy
38,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",218.39,150.00-350.00,Utilities (Monthly),150.0,350.0,Rome,Italy
