,Item,Average_Price_in_Eur,Range,Category,Minimum,Maximum,city,country
0,"Meal, Inexpensive Restaurant",12.54,9.00-17.00,Restaurants,9.0,17.0,Paphos,Cyprus
1,"Meal for 2 People, Mid-range Restaurant, Three-course",55.0,40.00-89.56,Restaurants,40.0,89.56,Paphos,Cyprus
2,McMeal at McDonalds (or Equivalent Combo Meal),7.0,6.00-9.00,Restaurants,6.0,9.0,Paphos,Cyprus
3,Domestic Beer (0.5 liter draught),3.0,2.00-4.00,Restaurants,2.0,4.0,Paphos,Cyprus
4,Imported Beer (0.33 liter bottle),3.0,2.50-4.50,Restaurants,2.5,4.5,Paphos,Cyprus
5,Cappuccino (regular),3.25,2.50-4.00,Restaurants,2.5,4.0,Paphos,Cyprus
6,Coke/Pepsi (0.33 liter bottle),2.11,1.50-2.69,Restaurants,1.5,2.69,Paphos,Cyprus
7,Water (0.33 liter bottle),0.91,0.50-2.00,Restaurants,0.5,2.0,Paphos,Cyprus
8,"Milk (regular), (1 liter)",1.53,1.33-2.00,Markets,1.33,2.0,Paphos,Cyprus
9,Loaf of Fresh White Bread (500g),1.27,0.65-2.50,Markets,0.65,2.5,Paphos,Cyprus
10,"Rice (white), (1kg)",1.95,1.25-2.65,Markets,1.25,2.65,Paphos,Cyprus
11,Eggs (regular) (12),3.14,2.35-4.80,Markets,2.35,4.8,Paphos,Cyprus
12,Local Cheese (1kg),9.46,4.50-17.48,Markets,4.5,17.48,Paphos,Cyprus
13,Chicken Fillets (1kg),7.25,6.00-9.00,Markets,6.0,9.0,Paphos,Cyprus
14,Beef Round (1kg) (or Equivalent Back Leg Red Meat),8.6,6.00-11.61,Markets,6.0,11.61,Paphos,Cyprus
15,Apples (1kg),2.06,1.00-3.00,Markets,1.0,3.0,Paphos,Cyprus
16,Banana (1kg),1.27,0.90-3.00,Markets,0.9,3.0,Paphos,Cyprus
17,Oranges (1kg),1.5,0.40-4.55,Markets,0.4,4.55,Paphos,Cyprus
18,Tomato (1kg),2.09,0.99-5.00,Markets,0.99,5.0,Paphos,Cyprus
19,Potato (1kg),0.76,0.35-1.50,Markets,0.35,1.5,Paphos,Cyprus
20,Onion (1kg),0.73,0.45-0.85,Markets,0.45,0.85,Paphos,Cyprus
21,Lettuce (1 head),0.51,0.35-1.00,Markets,0.35,1.0,Paphos,Cyprus
22,Water (1.5 liter bottle),0.82,0.45-1.73,Markets,0.45,1.73,Paphos,Cyprus
23,Bottle of Wine (Mid-Range),6.0,4.00-12.00,Markets,4.0,12.0,Paphos,Cyprus
24,Domestic Beer (0.5 liter bottle),1.17,0.83-2.00,Markets,0.83,2.0,Paphos,Cyprus
25,Imported Beer (0.33 liter bottle),1.67,1.00-3.00,Markets,1.0,3.0,Paphos,Cyprus
